x,y
516,427
496,394
499,377
503,365
505,356
515,364
524,361
523,361
529,351
529,351
532,347
530,339
547,345
561,356
584,408
597,414
348,413
828,388
836,373
607,351
786,363
790,358
790,355
790,344
788,333
782,348
773,361
740,405
741,411
735,408
732,414
739,421
771,425
815,362
812,346
812,334
811,330
813,328
818,330
819,327
821,333
828,330
820,330
825,322
821,323
777,373
769,390
703,446
683,452
678,454
687,458
688,458
692,460
681,464
676,458
683,455
688,455
691,455
691,455
685,459
684,459
686,456
695,458
778,485
783,493
446,351
457,355
466,353
581,334
610,341
606,356
511,347
640,286
664,285
683,275
684,267
689,264
702,254
699,250
649,271
733,280
732,283
730,284
730,279
738,277
759,280
755,295
753,295
641,346
627,359
487,398
477,396
486,388
537,363
544,372
542,373
545,371
550,366
562,349
581,325
585,305
576,306
561,326
552,334
542,338
466,366
453,371
443,375
436,399
458,393
472,392
482,397
485,398
502,399
572,342
593,337
584,349
579,354
565,367
559,375
561,379
561,379
562,378
562,374
562,374
565,371
567,369
568,370
567,370
566,370
565,371
565,370
565,371
565,371
565,371
565,372
565,373
565,373
566,375
566,375
566,375
566,374
566,375
566,375
565,375
565,373
564,373
563,373
563,374
563,376
564,379
563,380
561,383
560,382
560,382
560,382
441,359
447,362
453,362
477,364
563,368
563,369
562,370
557,370
547,371
315,521
544,370
539,371
538,375
543,374
566,377
584,378
595,376
585,383
554,389
556,388
561,388
565,388
566,388
566,389
566,390
563,390
555,386
555,386
475,343
510,297
511,291
513,288
514,285
514,282
514,283
514,277
514,277
513,277
513,276
513,273
513,271
513,270
513,270
514,269
514,268
515,268
517,268
515,267
513,265
513,262
514,258
512,257
512,257
511,257
511,257
509,257
509,258
509,258
505,263
502,264
501,265
496,269
493,271
492,276
490,279
486,281
480,288
479,288
477,289
492,298
499,312
528,370
533,388
530,394
524,390
523,390
524,390
524,390
524,390
525,390
526,389
527,375
528,358
527,337
513,276
516,278
518,279
519,277
520,272
520,270
520,270
520,262
520,262
521,263
519,262
516,270
515,270
515,270
514,270
511,272
511,273
512,273
511,272
511,274
510,273
511,274
511,274
510,274
510,274
508,273
509,274
